#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
dynwar;dynwar;Arcade;;;;;;;;;;;;;;
earthjkr;earthjkr;Arcade;;;;;;;;;;;;;;
ecofghtr;ecofghtr;Arcade;;;;;;;;;;;;;;
edf;edf;Arcade;;;;;;;;;;;;;;
edrandy;edrandy;Arcade;;;;;;;;;;;;;;
eggor;eggor;Arcade;;;;;;;;;;;;;;
eightfrc;eightfrc;Arcade;;;;;;;;;;;;;;
elevator;elevator;Arcade;;;;;;;;;;;;;;
elim2;elim2;Arcade;;;;;;;;;;;;;;
empcity;empcity;Arcade;;;;;;;;;;;;;;
enduror;enduror;Arcade;;;;;;;;;;;;;;
enforce;enforce;Arcade;;;;;;;;;;;;;;
eprom;eprom;Arcade;;;;;;;;;;;;;;
equites;equites;Arcade;;;;;;;;;;;;;;
espgal;espgal;Arcade;;;;;;;;;;;;;;
espial;espial;Arcade;;;;;;;;;;;;;;
esprade;esprade;Arcade;;;;;;;;;;;;;;
eswat;eswat;Arcade;;;;;;;;;;;;;;
evilston;evilston;Arcade;;;;;;;;;;;;;;
exedexes;exedexes;Arcade;;;;;;;;;;;;;;
exerion;exerion;Arcade;;;;;;;;;;;;;;
explbrkr;explbrkr;Arcade;;;;;;;;;;;;;;
exprraid;exprraid;Arcade;;;;;;;;;;;;;;
extdwnhl;extdwnhl;Arcade;;;;;;;;;;;;;;
extrmatn;extrmatn;Arcade;;;;;;;;;;;;;;
exzisus;exzisus;Arcade;;;;;;;;;;;;;;
eyes;eyes;Arcade;;;;;;;;;;;;;;
fantastc;fantastc;Arcade;;;;;;;;;;;;;;
fantland;fantland;Arcade;;;;;;;;;;;;;;
fantzn2;fantzn2;Arcade;;;;;;;;;;;;;;
fantzone;fantzone;Arcade;;;;;;;;;;;;;;
fastlane;fastlane;Arcade;;;;;;;;;;;;;;
fball;fball;Arcade;;;;;;;;;;;;;;
fcombat;fcombat;Arcade;;;;;;;;;;;;;;
feversos;feversos;Arcade;;;;;;;;;;;;;;
ffight;ffight;Arcade;;;;;;;;;;;;;;
fghtatck;fghtatck;Arcade;;;;;;;;;;;;;;
fghthist;fghthist;Arcade;;;;;;;;;;;;;;
fhawk;fhawk;Arcade;;;;;;;;;;;;;;
finalb;finalb;Arcade;;;;;;;;;;;;;;
finalizr;finalizr;Arcade;;;;;;;;;;;;;;
finehour;finehour;Arcade;;;;;;;;;;;;;;
firebatl;firebatl;Arcade;;;;;;;;;;;;;;
fireshrk;fireshrk;Arcade;;;;;;;;;;;;;;
fixeight;fixeight;Arcade;;;;;;;;;;;;;;
flashgal;flashgal;Arcade;;;;;;;;;;;;;;
flicky;flicky;Arcade;;;;;;;;;;;;;;
flytiger;flytiger;Arcade;;;;;;;;;;;;;;
fncywld;fncywld;Arcade;;;;;;;;;;;;;;
fnkyfish;fnkyfish;Arcade;;;;;;;;;;;;;;
forgottn;forgottn;Arcade;;;;;;;;;;;;;;
formatz;formatz;Arcade;;;;;;;;;;;;;;
freeze;freeze;Arcade;;;;;;;;;;;;;;
friskyt;friskyt;Arcade;;;;;;;;;;;;;;
frogger;frogger;Arcade;;;;;;;;;;;;;;
fround;fround;Arcade;;;;;;;;;;;;;;
fshark;fshark;Arcade;;;;;;;;;;;;;;
fstarfrc;fstarfrc;Arcade;;;;;;;;;;;;;;
funkybee;funkybee;Arcade;;;;;;;;;;;;;;
funkyjet;funkyjet;Arcade;;;;;;;;;;;;;;
futspy;futspy;Arcade;;;;;;;;;;;;;;
ga2;ga2;Arcade;;;;;;;;;;;;;;
gaia;gaia;Arcade;;;;;;;;;;;;;;
gaialast;gaialast;Arcade;;;;;;;;;;;;;;
galaga;galaga;Arcade;;;;;;;;;;;;;;
galaga88;galaga88;Arcade;;;;;;;;;;;;;;
galaxian;galaxian;Arcade;;;;;;;;;;;;;;
galaxygn;galaxygn;Arcade;;;;;;;;;;;;;;
galivan;galivan;Arcade;;;;;;;;;;;;;;
galmedes;galmedes;Arcade;;;;;;;;;;;;;;
galpanic;galpanic;Arcade;;;;;;;;;;;;;;
galspnbl;galspnbl;Arcade;;;;;;;;;;;;;;
galxwars;galxwars;Arcade;;;;;;;;;;;;;;
ganbare;ganbare;Arcade;;;;;;;;;;;;;;
gangwars;gangwars;Arcade;;;;;;;;;;;;;;
gaplus;gaplus;Arcade;;;;;;;;;;;;;;
gardia;gardia;Arcade;;;;;;;;;;;;;;
garyoret;garyoret;Arcade;;;;;;;;;;;;;;
gaunt2;gaunt2;Arcade;;;;;;;;;;;;;;
gauntlet;gauntlet;Arcade;;;;;;;;;;;;;;
gberet;gberet;Arcade;;;;;;;;;;;;;;
gbusters;gbusters;Arcade;;;;;;;;;;;;;;
gcpinbal;gcpinbal;Arcade;;;;;;;;;;;;;;
gemini;gemini;Arcade;;;;;;;;;;;;;;
genix;genix;Arcade;;;;;;;;;;;;;;
genpeitd;genpeitd;Arcade;;;;;;;;;;;;;;
gground;gground;Arcade;;;;;;;;;;;;;;
ghostb;ghostb;Arcade;;;;;;;;;;;;;;
ghouls;ghouls;Arcade;;;;;;;;;;;;;;
gigandes;gigandes;Arcade;;;;;;;;;;;;;;
gigawing;gigawing;Arcade;;;;;;;;;;;;;;
gijoe;gijoe;Arcade;;;;;;;;;;;;;;
ginganin;ginganin;Arcade;;;;;;;;;;;;;;
gng;gng;Arcade;;;;;;;;;;;;;;
goldnaxe;goldnaxe;Arcade;;;;;;;;;;;;;;
gondo;gondo;Arcade;;;;;;;;;;;;;;
goonies;goonies;Arcade;;;;;;;;;;;;;;
gorf;gorf;Arcade;;;;;;;;;;;;;;
gradius3;gradius3;Arcade;;;;;;;;;;;;;;
gravitar;gravitar;Arcade;;;;;;;;;;;;;;
grdians;grdians;Arcade;;;;;;;;;;;;;;
grdnstrm;grdnstrm;Arcade;;;;;;;;;;;;;;
grindstm;grindstm;Arcade;;;;;;;;;;;;;;
grobda;grobda;Arcade;;;;;;;;;;;;;;
growl;growl;Arcade;;;;;;;;;;;;;;
gtmr;gtmr;Arcade;;;;;;;;;;;;;;
gtmr2;gtmr2;Arcade;;;;;;;;;;;;;;
guardian;guardian;Arcade;;;;;;;;;;;;;;
gulfstrm;gulfstrm;Arcade;;;;;;;;;;;;;;
gulfwar2;gulfwar2;Arcade;;;;;;;;;;;;;;
gunbird;gunbird;Arcade;;;;;;;;;;;;;;
gunbird2;gunbird2;Arcade;;;;;;;;;;;;;;
gundamex;gundamex;Arcade;;;;;;;;;;;;;;
gundhara;gundhara;Arcade;;;;;;;;;;;;;;
gunforc2;gunforc2;Arcade;;;;;;;;;;;;;;
gunforce;gunforce;Arcade;;;;;;;;;;;;;;
gunfront;gunfront;Arcade;;;;;;;;;;;;;;
gunnail;gunnail;Arcade;;;;;;;;;;;;;;
gunsmoke;gunsmoke;Arcade;;;;;;;;;;;;;;
guwange;guwange;Arcade;;;;;;;;;;;;;;
guzzler;guzzler;Arcade;;;;;;;;;;;;;;
gwar;gwar;Arcade;;;;;;;;;;;;;;
gyrodine;gyrodine;Arcade;;;;;;;;;;;;;;
gyruss;gyruss;Arcade;;;;;;;;;;;;;;
hachamf;hachamf;Arcade;;;;;;;;;;;;;;
hachoo;hachoo;Arcade;;;;;;;;;;;;;;
hal21;hal21;Arcade;;;;;;;;;;;;;;
hamaway;hamaway;Arcade;;;;;;;;;;;;;;
hangon;hangon;Arcade;;;;;;;;;;;;;;
hardhat;hardhat;Arcade;;;;;;;;;;;;;;
hardhea2;hardhea2;Arcade;;;;;;;;;;;;;;
hardhead;hardhead;Arcade;;;;;;;;;;;;;;
hbarrel;hbarrel;Arcade;;;;;;;;;;;;;;
hcastle;hcastle;Arcade;;;;;;;;;;;;;;
heatbrl;heatbrl;Arcade;;;;;;;;;;;;;;
hedpanic;hedpanic;Arcade;;;;;;;;;;;;;;
hellfire;hellfire;Arcade;;;;;;;;;;;;;;
hharry;hharry;Arcade;;;;;;;;;;;;;;
higemaru;higemaru;Arcade;;;;;;;;;;;;;;
holeland;holeland;Arcade;;;;;;;;;;;;;;
hook;hook;Arcade;;;;;;;;;;;;;;
hoops96;hoops96;Arcade;;;;;;;;;;;;;;
hopmappy;hopmappy;Arcade;;;;;;;;;;;;;;
hopprobo;hopprobo;Arcade;;;;;;;;;;;;;;
horekid;horekid;Arcade;;;;;;;;;;;;;;
horizon;horizon;Arcade;;;;;;;;;;;;;;
hotdogst;hotdogst;Arcade;;;;;;;;;;;;;;
hotshock;hotshock;Arcade;;;;;;;;;;;;;;
hsf2;hsf2;Arcade;;;;;;;;;;;;;;
hvymetal;hvymetal;Arcade;;;;;;;;;;;;;;
hvyunit;hvyunit;Arcade;;;;;;;;;;;;;;
hydra;hydra;Arcade;;;;;;;;;;;;;;
hyperpac;hyperpac;Arcade;;;;;;;;;;;;;;
ikari;ikari;Arcade;;;;;;;;;;;;;;
ikari3;ikari3;Arcade;;;;;;;;;;;;;;
ikki;ikki;Arcade;;;;;;;;;;;;;;
imago;imago;Arcade;;;;;;;;;;;;;;
imgfight;imgfight;Arcade;;;;;;;;;;;;;;
imsorry;imsorry;Arcade;;;;;;;;;;;;;;
indytemp;indytemp;Arcade;;;;;;;;;;;;;;
insectx;insectx;Arcade;;;;;;;;;;;;;;
inthunt;inthunt;Arcade;;;;;;;;;;;;;;
intrepid;intrepid;Arcade;;;;;;;;;;;;;;
invad2ct;invad2ct;Arcade;;;;;;;;;;;;;;
invaders;invaders;Arcade;;;;;;;;;;;;;;
invadpt2;invadpt2;Arcade;;;;;;;;;;;;;;
ironclad;ironclad;Arcade;;;;;;;;;;;;;;
ironhors;ironhors;Arcade;;;;;;;;;;;;;;
jackal;jackal;Arcade;;;;;;;;;;;;;;
jailbrek;jailbrek;Arcade;;;;;;;;;;;;;;
jchan;jchan;Arcade;;;;;;;;;;;;;;
jchan2;jchan2;Arcade;;;;;;;;;;;;;;
jdreddp;jdreddp;Arcade;;;;;;;;;;;;;;
jedi;jedi;Arcade;;;;;;;;;;;;;;
jjack;jjack;Arcade;;;;;;;;;;;;;;
jjsquawk;jjsquawk;Arcade;;;;;;;;;;;;;;
joemacr;joemacr;Arcade;;;;;;;;;;;;;;
joinem;joinem;Arcade;;;;;;;;;;;;;;
jojo;jojo;Arcade;;;;;;;;;;;;;;
jojoba;jojoba;Arcade;;;;;;;;;;;;;;
jollyjgr;jollyjgr;Arcade;;;;;;;;;;;;;;
journey;journey;Arcade;;;;;;;;;;;;;;
jrpacman;jrpacman;Arcade;;;;;;;;;;;;;;
jumpbug;jumpbug;Arcade;;;;;;;;;;;;;;
jumpcoas;jumpcoas;Arcade;;;;;;;;;;;;;;
jumpkids;jumpkids;Arcade;;;;;;;;;;;;;;
jumpkun;jumpkun;Arcade;;;;;;;;;;;;;;
jumppop;jumppop;Arcade;;;;;;;;;;;;;;
